web_scraper_order,web_scraper_start_url,brand,model,formfactor,wrap_color,ring_color,model2,cell_data,cell_image,item_page_title,item_page_link,text_0
"1776675275-1","https://secondlifestorage.com/index.php?pages/cell-database/","","","","","","","","","","",""
"1776675278-2","https://secondlifestorage.com/index.php?pages/cell-database/","YikLik (YLE)","INR18650A245","18650","Red","White","","View Specifications","https://secondlifestorage.com/custom/cell_images/yleinr18650a245.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.8335/","Brand:

YikLik (YLE)

Model:

INR18650A245

Capacity:

2450mAh Rated

Voltage:

3.60V Nominal

Charging:

4.20V Maximum
490mA Standard
1700mA Maximum

Discharging:

3.00V Cutoff
0mA Standard
4900mA Maximum

Description:

Red Cell Wrapper
White Insulator Ring
18650 Form Factor"
"1776675282-3","https://secondlifestorage.com/index.php?pages/cell-database/","YikLik (YLE)","INR18650A220","18650","Red","Black","","View Specifications","https://secondlifestorage.com/custom/cell_images/h1Q1gXo.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.1684/","Brand:

YikLik (YLE)

Model:

INR18650A220

Capacity:

2200mAh Rated

Voltage:

3.60V Nominal

Charging:

4.20V Maximum
4400mA Standard
2200mA Maximum

Discharging:

3.00V Cutoff
440mA Standard
2200mA Maximum

Description:

Red Cell Wrapper
Black Insulator Ring
18650 Form Factor"
"1776675284-4","https://secondlifestorage.com/index.php?pages/cell-database/","YikLik (YLE)","ICR18650A240","18650","Orange","White","","View Specifications","https://secondlifestorage.com/custom/cell_images/yleicr18650a240.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.8333/","Brand:

YikLik (YLE)

Model:

ICR18650A240

Capacity:

2400mAh Rated

Voltage:

3.70V Nominal

Charging:

4.20V Maximum
480mA Standard
--- mA Maximum

Discharging:

3.00V Cutoff
--- mA Standard
--- mA Maximum

Description:

Orange Cell Wrapper
White Insulator Ring
18650 Form Factor"
"1776675286-5","https://secondlifestorage.com/index.php?pages/cell-database/","YikLik (YLE)","ICR18650A220","18650","Orange","Black","","View Specifications","https://secondlifestorage.com/custom/cell_images/yleicr18650a220.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.2440/","Brand:

YikLik (YLE)

Model:

ICR18650A220

Capacity:

2200mAh Rated

Voltage:

3.70V Nominal

Charging:

4.20V Maximum
--- mA Standard
--- mA Maximum

Discharging:

--- V Cutoff
--- mA Standard
--- mA Maximum

Description:

Orange Cell Wrapper
Black Insulator Ring
18650 Form Factor"
"1776675289-6","https://secondlifestorage.com/index.php?pages/cell-database/","Valence","IFR-18650EC","18650","Orance","Grey","","View Specifications","https://secondlifestorage.com/custom/cell_images/valanceifr18650ec.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.6101/","Brand:

Valence

Model:

IFR-18650EC

Capacity:

1300mAh Rated

Voltage:

3.20V Nominal

Charging:

3.65V Maximum
650mA Standard
1300mA Maximum

Discharging:

2.00V Cutoff
260mA Standard
2600mA Maximum

Description:

Orance Cell Wrapper
Grey Insulator Ring
18650 Form Factor"
"1776675291-7","https://secondlifestorage.com/index.php?pages/cell-database/","Unknown","ICR18650-23A-HENV","18650","Turquoise","Translucent","","View Specifications","https://secondlifestorage.com/custom/cell_images/7Vr1kpC.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.1719/","Brand:

Unknown

Model:

ICR18650-23A-HENV

Capacity:

--- mAh Rated

Voltage:

--- V Nominal

Charging:

--- V Maximum
--- mA Standard
--- mA Maximum

Discharging:

--- V Cutoff
--- mA Standard
--- mA Maximum

Description:

Turquoise Cell Wrapper
Translucent Insulator Ring
18650 Form Factor"
"1776675294-8","https://secondlifestorage.com/index.php?pages/cell-database/","Unknown","GOB18650S","18650","Turquoise","Grey","","View Specifications","https://secondlifestorage.com/custom/cell_images/uncell003.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.2692/","Brand:

Unknown

Model:

GOB18650S

Capacity:

--- mAh Rated

Voltage:

--- V Nominal

Charging:

--- V Maximum
--- mA Standard
--- mA Maximum

Discharging:

--- V Cutoff
--- mA Standard
--- mA Maximum

Description:

Turquoise Cell Wrapper
Grey Insulator Ring
18650 Form Factor"
"1776675296-9","https://secondlifestorage.com/index.php?pages/cell-database/","Unknown","FP-ICR18650","18650","Blue","White","","View Specifications","https://secondlifestorage.com/custom/cell_images/DBBVbBK.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.1761/","Brand:

Unknown

Model:

FP-ICR18650

Capacity:

--- mAh Rated

Voltage:

--- V Nominal

Charging:

--- V Maximum
--- mA Standard
--- mA Maximum

Discharging:

--- V Cutoff
--- mA Standard
--- mA Maximum

Description:

Blue Cell Wrapper
White Insulator Ring
18650 Form Factor"
"1776675299-10","https://secondlifestorage.com/index.php?pages/cell-database/","Unknown","D18650","18650","Green","White","","View Specifications","https://secondlifestorage.com/custom/cell_images/uncell002.jpg","View Specifications","https://secondlifestorage.com/index.php?threads/celldata.2586/","Brand:

Unknown

Model:

D18650

Capacity:

--- mAh Rated

Voltage:

--- V Nominal

Charging:

--- V Maximum
--- mA Standard
--- mA Maximum

Discharging:

--- V Cutoff
--- mA Standard
--- mA Maximum

Description:

Green Cell Wrapper
White Insulator Ring
18650 Form Factor"
